French,English
couverture,cover
moments,moments
big,big
mesure,measure
atteindre,reach
singe,monkey
pistolet,gun
frontière,border
réel,real
réfléchi,reflexive
somme,sum
agents,agents
ours,bear
prisonniers,prisoners
évidemment,obviously
afrique,Africa
allemand,German
dan,dan
couche,layer
relations,relations
texas,Texas
delà,of the
celles,those
navire,vessel
deviens,become
bite,cock
laisses,leave
dirige,directed
partenaire,partner
aube,dawn
demi,half
affreux,awful
camarade,comrade
street,street
inquiéter,worry
tableau,picture
fatiguée,tired
entreprise,company
demandes,requests
nana,girl
re,D
coincé,stuck
tenu,tenuous
viré,fired
suspect,suspicious
reconnais,recognize
ressens,feeling
juif,Jewish
directement,directly
mexique,Mexico
cherché,look for
marine,Marine
prisonnier,prisoner
finit,finished
howard,Howard
étoile,star
jean,Jeans
convaincre,convince
filer,spin
kevin,kevin
bosse,bump
pousser,to push 
protection,protection
signé,sign
crier,yell
rêvé,dream
respirer,to breathe
propriétaire,owner
prêtre,priest
donnes,gate
taire,to hush up
permettre,allow
prudent,careful
carl,carl
commis,clerk
chaîne,chain
copains,friends
sec,dry
cauchemar,nightmare
laver,wash
hollywood,Hollywood
jeff,Jeff
réfléchis,reflected
trompe,deceived
hais,haz
immeuble,building
supporter,support
soi,self
bagages,luggage
tir,shot
traverser,to cross
commissaire,commissioner
mac,mac
donnerai,will give
reviendrai,will come back
larmes,tears
déranger,to bother
Arthur,Arthur
pigé,pig
réserve,Reserve
adam,Adam
volant,flying
uniforme,uniform
st,st
croient,believe
différents,different
souffrir,suffer
maudit,damn
valise,suitcase
prendrai,will take
assurance,insurance
abandonné,abandoned
dames,ladies
lendemain,the following day
navré,heartbroken
prennent,takes
sénateur,senator
roule,rolled
montagnes,mountains
lapin,rabbit
juifs,Jews
amuse,amused
espérais,hoped
fleur,flower
merveilleuse,marvelous
tournée,tour
scott,scott
information,information
foyer,foyer
tourné,turned
personnage,character
permettez,Allow
amitié,friendship
hâte,hurry
opinion,opinion
curieux,curious
concert,concert
enfance,childhood
extraordinaire,extraordinary
davantage,any further
saviez,knew
chargé,charged
porc,pork
recommence,start again
chèque,check
piano,piano
jouez,play
océan,ocean
ayant,having
go,Go
pattes,paws
ravie,tight
trace,trace
réveillé,wake up
miles,miles
soupe,soup
sucre,sugar
écoutes,listen
vierge,virgin
mauvaises,bad
objet,object
adorable,adorable
chine,China
sonne,sound
envoyez,send
réputation,reputation
kate,kate
sport,sport
brave,brave
lieux,premises
brûle,burn
russes,Russian
murs,walls
second,second
etes,are
facilement,easily
troupes,troops
titrage,titration
canon,cannon
bague,Ring
bâtiment,building
seraient,would be
cellule,cell
Susan,Susan
survivre,to survive
trouverai,will find
printemps,spring
voisins,neighbors
nuits,nights
chances,odds
contrôler,control
compliqué,complicated
voyais,saw
retirer,remove
ancienne,Ancient
théorie,theory
avancez,Advance
studio,studio
exploser,explode
explosion,blast
fiancée,fiancee
évident,obvious
gardé,kept
accusé,accused
Annie,Annie
témoins,witnesses
désir,desire
humanité,humanity
amen,Amen
magie,magic
restera,will stay
palais,palace
cirque,circus
cinglé,crazy
conduis,driven
sales,dirty
traces,traces
station,station
construire,to build
joey,Joey
siège,headquarters
Kelly,Kelly
semblait,seemed
vivants,living
voient,see
représente,represented
sombre,dark
lourd,heavy 
lá,the
familles,families
égal,equal
surveille,monitoring
terme,term
gêne,embarrassed
poule,chicken
pére,dad
devraient,should
soif,thirst
haine,hate
Rachel,Rachel
Jason,Jason
surveiller,to watch
ted,ted
marin,marine
procureur,prosecutor
traité,treaty
vivent,live
chansons,songs
souvenez,remember
entière,whole
résultat,results
préparé,prepare
top,top
enchantée,Nice to meet you
gardien,guardian
traite,treaty
avancer,to advance
commun,common
pêche,sin
tien,yours
posé,laid
libérer,release
gamins,kids
taule,jail
retournez,return
médicaments,medications
matériel,material
crâne,skull
région,region
débile,stupid
science,science
délicieux,delicious
privée,private
créature,creature
ho,ho
ed,ED
king,King
liquide,liquid
réglé,rule
gay,gay
apprend,learn
quant,as to
péché,Fishing
répéter,repeat
auprès,with
tâche,task
devine,guess
mener,carry out
vente,sale
plu,enjoyed
joueur,player
modèle,model
aurons,will have
up,up
mensonges,lies
fermez,close
traiter,treat
secteur,sector
soyons,let's be
barre,closed off
appelée,called
projets,projects
roman,novel
veille,standby
étudier,to study
tenue,outfit
physique,physical
passait,passed
concours,competition
jaune,yellow
inconnu,unknown
victor,Victor
vision,vision
black,black
lentement,slowly
surface,surface
dick,dick
com,com
matt,matt
kilomètres,kilometers
baise,fuck
x,X
sers,serve
abandonne,abandoned
vivante,lively
spéciale,special
prof,teacher
poissons,Pisces
bosser,work
cherchais,sought
my,my
empire,empire
cigarettes,cigarettes
amies,friends
aventure,adventure
responsabilité,responsibility
sauve,Safe
devrions,should
lucy,Lucy
atteint,achieved
infirmière,nurse
humeur,mood
descendez,Go down
résultats,results
tenté,tent
baisse,decrease
mn,mn
rare,rare
empreintes,fingerprints
proches,relatives
sauvage,savage
virer,fire
fumée,smoke
lisa,Lisa
engagé,engaged
romantique,romantic
cloche,Bell
brian,brian
magique,magical
chers,Dear
comité,committee
choisis,choose
voila,here
jaloux,jealous
divorce,divorce
lord,lord
données,data
détective,detective
rouges,red
fred,fred
ambulance,ambulance
rentrée,back to school
port,port
anne,Anne
roy,roy
cochon,pig
enfuir,escape
devra,will have to
francisco,Francisco
ménage,housework
roger,Roger
particulier,particular
journaliste,journalist
croix,cross
pareille,likely
royaume,kingdom
disparaître,vanish
jus,juice
comte,county
sainte,holy
soucis,worry
allemagne,Germany
patience,patience
fallu,owl
net,net
suivez,follow
panique,panic
q,q
morceaux,parts
construit,built
crédit,credit
rater,to fail
normale,normal
attendait,was waiting
bye,bye
fromage,cheese
embrasse,kiss
complet,complete
bouffe,food
boutique,shop
seriez,would be
recommencer,restart
scénario,script
jeudi,Thursday
endroits,locations
brûler,burn
nommé,appointed
mardi,tuesday
hall,lobby
réalisé,realized
terry,Terry
passion,passion
enlevé,removed
profond,deep
télévision,television
abruti,fool
réussir,to succeed
répond,respond
red,red
emmené,taken
cadeaux,gifts
remonter,go back up
accompagner,to accompany
johnson,johnson
différente,different
tromper,deceive
pot,jar
lien,link
serpent,snake
imaginez,Imagine
excusez,Excuse
trompé,deceived
cadavre,corpse
bouton,button
cancer,cancer
descend,descend
centaines,hundreds
poussière,dust
piscine,swimming pool
entraînement,coaching
terminée,finished
tapis,carpet
esprits,spirits
phil,phil
inviter,invite
œuvre,work
imagination,imagination
chut,hush
park,park
existence,existence
empereur,emperor
décide,decided
eric,Eric
ascenseur,elevator
criminel,criminal
révolution,revolution
principal,major
terres,lands
charmante,charming
promesse,promise
période,period
craint,fear
croyait,believed
courrier,mail
récemment,recently
écran,screen
anciens,old -fashioned
cris,cries
passes,passes
combattre,combat
réveille,wake up
feront,will do
élevé,raised
têtes,heads
souffre,suffer
quiconque,anyone
malheureux,unfortunate
césar,Caesar
arrives,arrival
empêche,stop
brisé,broken
garage,garage
russie,Russia
Jackson,Jackson
bêtes,beasts
tenter,to attempt
excellente,excellent
passent,pass
ferez,will do
pub,pub
logique,logic
version,version
permet,allow
parte,part
temple,temple
section,section
rythme,rhythm
propriété,property
étrangers,foreigners
finis,finish
erreurs,errors
feriez,would do
propose,offers
examen,exam
nation,nation
approchez,approach
différentes,different
traduction,translation
reconnu,recognized
cap,cap
meurtres,murders
courageux,courageous
profiter,to profit from
juré,sworn
miel,Honey
poil,hair 
rapports,reports
chic,chic
fonds,funds
aimerait,would like
sable,sand
lutte,struggle
fière,proud
is,is
japon,Japan
douze,twelve
labo,lab
ya,ya
agence,agency
cependant,however
indiens,Indian
donnera,will give
restent,remain
ceinture,belt
seins,tits
étonnant,amazing
uns,some
nourrir,to feed
inventé,invented
sérieuse,serious
ment,is lying
pratique,practice
invite,guest
potes,friends
meurtrier,murderer
vegas,vegas
idéal,ideal
maîtresse,mistress
central,central
fume,smoke
équipage,crew
brillant,bright
trouvent,find
crie,calls out
laura,laura
commission,commission
nager,to swim
boit,drinking
bombes,bombs
figure,figure
revolver,revolver
crème,cream
rat,rat
tempête,storm
refaire,remake
née,born
supporte,support
crever,die
conduite,conduct
lci,lci
brown,brown
pure,pure
traitement,treatment
porté,gate
voyait,saw
cabine,cabin
fuite,leak
nationale,national
estomac,stomach
machines,machines
julie,julie
couloir,corridor
emily,Emily
ouah,Wow
bijoux,jewelry
lâcher,let go
acteurs,actors
sentez,feel
couleurs,colors
naturel,natural
travaillait,was working
Wilson,Wilson
incendie,fire
camarades,comrades
chute,fall
accompagne,accompanied
passés,past
médecins,doctors
revenue,revenue
peinture,paint
reconnaître,recognize
dollar,dollar
coupez,cut
prénom,first name
puce,chip
pur,pure
prier,pray
actions,actions
voisin,neighbour
officiers,officers
prévenu,warned
chaude,hot
bains,baths
démon,Devil
pierres,stones
miroir,mirror
forcément,necessarily
lumières,lights
actrice,actress
jouait,played
vérifie,checked
comportement,behaviour
avoue,confession
aient,have
buvez,drink
calmer,calm
amy,Amy
technique,technical
nôtres,ours
obtenu,obtained
autrefois,in the old days
parlera,talk to
Ryan,Ryan
boss,boss
parier,to bet
correct,correct
septembre,september
libres,free
affronter,confront
doué,gifted
appellent,call
repose,rests
conditions,terms
parfum,scent
protège,protected
tasse,cup
pensée,thought
salaire,salary
bagnole,car
infos,info
jolies,pretty
récompense,reward
kim,kim
essayons,let's try
ordinaire,ordinary
jeunesse,youth
musée,museum
bébés,babies
chuck,chuck
plaisantes,pleasant
absence,absence
aiors,Aiors
échappé,escape
fausse,fake
jury,jury
étudiants,students
approcher,approach
espagne,Spain
aprés,after
blonde,blonde hair
condition,condition
race,breed
vend,sells
absurde,absurd
masque,mask
appellerai,will call
pardonner,to forgive
pouvoirs,powers
laissée,left
annoncer,announce
origine,origin
el,el
apprends,learn
poitrine,chest
tape,tape
remis,discarded
couvert,covered
large,wide
prenons,let's take
pressé,press
nu,naked
loup,wolf
urgent,urgent
attente,waiting
bêtises,foolery
appels,calls
mystère,mystery
travailles,work
vélo,bike
vends,sell
armé,armed
réaction,reaction
flotte,fleet
bleue,blue
foot,football
foutez,chatter
virus,virus
oeufs,eggs
élève,student
daniel,Daniel
êtres,beings
vengeance,revenge
stan,stan
essayais,tried
minable,shabby
cérémonie,ceremony
gordon,gordon
uniquement,uniquely
salauds,bastard
alan,alan
froide,cold
helen,helen
portée,scope
disque,disk
attaqué,offensive
résoudre,solve
moche,ugly
scientifique,scientific
colle,glue
lady,lady
maximum,maximum
déclaration,statement
installer,install
blessés,wounded
effort,effort
iras,IRAS
commandement,commandment
panne,breakdown
visiter,to visit
disiez,say
venais,came
pointe,point
moque,mocking
chambres,bedrooms
convaincu,convinced
raisonnable,within reason
aiiez,AIIZ
rencontrés,met
qualité,quality
aimée,beloved
irait,would go
épousé,marry
attitude,attitude
joseph,joseph
esclave,slave
milliards,billion
guide,guide
oeuvre,work
humour,humor
bible,Bible
boule,ball 
sacs,bags
avocats,lawyers
yo,yo
meurent,die
connaissait,knew
union,union
ex,ex
sally,sally
blesser,hurt
taylor,Taylor
maggie,Maggie
perdus,lost
malades,sick
jungle,jungle
jugement,judgement
essai,test
écrivain,writer
digne,worthy
survécu,survived
julia,julia
vérifié,checked
linda,linda
brûlé,burnt
noble,noble
sauté,jumped up
gâcher,spoil
inquiet,worried
enterrement,burial
prenne,take
site,site
engager,engage
rayon,Ray
traîner,hang out
rang,rank
traître,traitor
berlin,Berlin
parlant,speaking
orange,orange
jenny,Jenny
voudras,will want
sentais,Smelt
bourse,stock Exchange
élèves,students
manques,gap
faisaient,were doing
partage,share 
légende,legend
cave,cellar
voleurs,thieves
fruits,fruits
préviens,warn
connaissent,know
venant,from
policiers,policeman
paire,pair
pommes,apples
meilleures,best
cassette,cassette
sommet,Mountain peak
remplacer,replace
objets,objects
idiots,idiots
cage,cage
saurais,would be
limite,limit
ailes,wings
explication,explanation
ô,Ô
bond,jump
floride,Florida
travaillez,Work
carter,housing
conseiller,advise
portait,wore
condamné,sentenced
voyant,seeing
recule,recuis
bénisse,bless
associé,associated
auteur,author
écouté,listen
sorcière,witch
edward,Edward
livrer,deliver
plainte,complaint
réellement,Actually
albert,Albert
adulte,adult
pile,pile
communauté,community
mandat,mandate
éducation,education
ramené,brings back
réponses,responses
bagarre,fight
escalier,stairs
naturellement,naturally
désire,longed for
lignes,lines
incident,incident
kilos,pounds
rats,rats
quinze,fifteen
parties,parts
véhicule,vehicle
wayne,wayne
chasser,hunt
bottes,boots
objectif,objective
patients,patients
suivante,next
respecte,respect
attrapé,caught
junior,junior
colline,hill
professionnel,professional
devoirs,homework
conseils,tips
effets,effects
fichu,darkened
blessure,wound
messages,messages
baby,baby
crimes,crimes
moscou,Moscow
villes,cities
voudra,will want to
moto,motorbike
domaine,domain
organisation,organization
aimable,friendly
forts,strong
eue,eue
exercice,exercise
voyager,travel
arrestation,arrest
fasses,make
pizza,pizza
barbe,beard
french,french
dossiers,files
tunnel,tunnel
voudrez,will want
arrivait,was coming
roses,roses
amiral,admiral
cabinet,cabinet
mére,mother
poursuivre,to chase
forcé,strength
huile,oil
grosses,big
ranger,tidy
furieux,furious
vivait,lived
aidera,will help
géant,giant
tim,Tim
tours,towers
retire,took of
vote,vote
autorisation,permission
risqué,risk
hitler,Hitler
rond,round
show,show
territoire,territory
venger,revenge
exprès,on purpose
tuerai,will kill
anges,angels
classique,classic
soutien,support
rentres,return
tokyo,Tokyo
proposition,proposal
love,love
tests,tests
pétrole,oil
réaliser,achieve
sortira,will come out
soirs,evenings
ministère,ministry
magazine,magazine
verres,glasses
échec,failure
vieilles,old
pourrions,could
bol,bowl
plaire,to please
miller,miller
respecter,respect
cons,cons
golf,golf
bibliothèque,library
attirer,to attract
drapeau,flag
possède,possesses
production,production
conférence,conference
efforts,efforts
pere,dad
putains,whores
précieux,precious
religion,religion
rêver,dream
épreuve,test
retenir,to hold onto
football,soccer
Frankie,Frankie
échoué,failed
pisser,piss
Barry,Barry
sortes,sort of
circonstances,circumstances
kong,kong
mignonne,cute
excellence,Excellency
auto,car
do,do
vague,vague
arrêtes,stops
nôtre,our
vallée,valley
Morgan,Morgan
enterré,buried
tandis,while
duc,duke
pêre,dad
assassiné,murdered
ooo,ooo
charme,charm
quart,quarter
arrangé,arranged
guitare,guitar
remplir,to fill
Sophie,Sophie
crève,buzzer
Jesse,Jesse
Bruce,Bruce
Sara,Sara
refuser,to refuse
donnent,give
Luke,Luke
taper,type
critique,critical
secrète,secret
terminer,to end
hauteur,height
comédie,comedy
cimetière,graveyard
baisé,fucked
cardiaque,heart
Catherine,Catherine
chiffres,figures
fêter,to celebrate
trouverez,will find
indien,Indian
altesse,highness
occupée,busy
intelligente,intelligent
culture,culture
deviner,to guess
géniale,brilliant
limites,limits
Nancy,Nancy
précis,accurate
éternité,eternity
ball,ball
plateau,plateau
prises,taken
viendrai,will come
rempli,completed
clairement,clearly
intérêts,interests
langage,speech
aides,aid
feux,fires
Betty,Betty
copie,copy
profondément,deeply
fâché,angry
incapable,unable
mercredi,Wednesday
souffrance,suffering
avouer,confess
mile,mile
posez,Place
lion,lion
ali,Ali
soigner,cure
fenêtres,Windows
pue,stinking
électrique,electric
italien,Italian
traversé,crossed
réception,reception
énerve,irritated
rentrons,Let's go back
couvrir,cover
fonce,dark
Harvey,Harvey
Kyle,Kyle
produits,products
loyer,rent
grace,grace
bleus,blue
assistant,assistant
cervelle,brain
trente,thirty
yeah,Yeah
saches,know
national,national
avenue,avenue
evidemment,obviously
reçois,receive
cité,cited
liaison,connection
prouve,prove
collier,necklace
aprês,after
séance,session
placard,cupboard
criminels,criminals
irais,go
riz,rice
sandwich,sandwich
boston,Boston
parlerai,will speak
places,places
stade,stadium
gagnant,winner
moral,moral
tendre,tender
fleuve,River
mêre,mother
stanley,Stanley
trouvait,found
auparavant,previously
personnellement,personally
fièvre,fever
champs,fields
tuera,will kill
chatte,cat
actes,acts
restait,remained
amant,lover
concernant,re
las,the ace
ferons,will do
cherchent,they search
tenait,held
exécution,execution
ann,Ann
lou,lou
pédé,fag
prière,pray
hélas,Alas
sortent,come out
bateaux,boats
allaient,were going
durer,last
assise,seated
alarme,alarm
commencez,start
furent,were
prenait,taking
brad,brad
entièrement,entirely
médecine,medicine
juillet,July
sortis,out
sensible,sensitive
poudre,powder
finale,final
plais,pleasant
durs,hard
discussion,discussion
séparer,to separate
esclaves,slaves
instructions,instructions
beurre,butter
documents,documents
taré,tare
rick,rick
détail,detail
baron,baron
mettent,put
congrès,Congress
épaule,shoulder
poison,poison
final,final
métro,subway
attendrai,will wait
serment,oath
chan,chan
pardonne,forgiven
espagnol,Spanish
supérieur,superior
w,W
degrés,degrees
rires,laughter
west,West
parker,parker
tuez,kill
œufs,eggs
fiancé,fiance
nerfs,nerves
portefeuille,wallet
robot,robot
internet,Internet
expert,expert
hank,hank
surveillance,surveillance
foutue,fucked up
rita,rita
réalisateur,director
entraîner,lead
martha,martha
descendu,descended
patrick,patrick
comté,county
congé,leave
finira,will end
caméras,cameras
sauce,sauce
balance,balance
destruction,destruction
moderne,modern
Carlos,Carlos
extrêmement,extremely
âmes,souls
expression,expression
marchera,will walk
commerce,trade
ivre,drunk
salopard,bastard
appétit,appetite
dette,debt
all,all
promener,to walk
employés,employees
admettre,admit
producteur,producer
attendons,let's wait
quittez,leave
brise,broken
wow,wow
juin,June
chats,cats
remets,put back
ajouter,to add
couler,to flow
Pasteur,Pastor
alliez,combine
portrait,portrait
heu,uu
by,by
lancé,spear
diamants,diamonds
donnée,given
avantage,advantage
fidèle,faithful
juger,judge
renseignements,information
gang,gang
loué,rented
réseau,network
ouverture,opening
travaux,works
poussé,pushed
division,division
invitation,invitation
repartir,divide
trous,holes
rappelez,recall
totale,total
solide,solid
réservé,Reserve
Willie,Willie
autorité,authority
fermée,closed
munitions,ammunition
neveu,nephew
diras,will say
téléphoner,call
briser,to break
siècles,centuries
nerveuse,nervous
bonbons,candy
blé,wheat
pourri,rotten
puits,well
fantômes,ghosts
termine,ended
monstres,monsters
écraser,to crush
espérons,hope
bétail,cattle
miens,mine
changera,will change
adultes,adults
restée,remained
total,total
fierté,pride
pari,bet
sein,breast
cessez,stop
Elizabeth,Elizabeth
exige,required
étudiant,student
Jackie,Jackie
démarre,started
lâchez,let go
Marty,Marty
passons,Let's go
vic,vic
semblez,appear
gérer,to manage
électricité,electricity
invitée,guest
injuste,unfair
désirez,wish
lampe,lamp
normalement,normally
causer,cause
dalle,slab
mondiale,global
comptez,count
rouler,to roll
filmer,film
rapporte,report
sourd,deaf
trouveras,will find
alliance,alliance
convient,agrees
rage,rage
habitants,inhabitants
Mamie,Granny
nuages,clouds
hmm,Hmm
trahi,betrayed
biens,goods
Lewis,Lewis
tournage,filming
créatures,creatures
militaires,military
blessures,wounds
barbara,barbara
Louise,Louise
règlement,settlement
grant,grant
étudié,studied
courez,run
habiller,dress
soeurs,sisters
soins,care
célibataire,single
veuve,widow
Canada,Canada
dépêche,dispatch
progrès,progress
dégoûtant,disgusting
fan,fan
matière,matter
avril,april
molly,molly
cercle,circle
Davis,Davis
nucléaire,nuclear
pervers,pervert
échelle,ladder
adorer,love
trouvais,found
orchestre,orchestra
déposer,to file
cadavres,corpses
échappe,escape
emprunter,to borrow
exprimer,Express
caractère,temper
libéré,released
signes,signs
fêtes,holidays
vedette,star
lisez,read
commençons,Let's start
robin,Robin
généreux,generous
méchants,bad guys
formation,training
bâton,stick
timide,shy
gentils,friendly
premières,first
passagers,passengers
immense,immense
serviette,towel
mangez,eat
diriger,to manage
passant,passing
Ruth,Ruth
min,min
préférée,favorite
perdez,lose
plaque,plaque
espion,spy
connue,known
eaux,waters
deviennent,become
emporter,carry
Gary,Gary
cruel,cruel
citoyens,citizens
von,von
tension,tension
ranch,ranch
Karen,Karen
business,business
your,your
organiser,arrange
étonne,surprised
terroristes,terrorists
that,that
micro,microphone
ordure,junk
léger,light
température,temperature
unités,units
populaire,popular
joueurs,players
beth,beth
vincent,Vincent
voies,tracks
regardais,looked
saloperie,bastard
traverse,crossing
intelligence,intelligence
expériences,experiences
Miami,Miami
opérations,operations
santa,santa
arrange,arrangement
dragon,dragon
sûrs,safe
enterrer,bury
pouviez,could
craindre,to fear
mortel,deadly
issue,outcome
demeure,remains
mouche,fly 
donna,donna
octobre,october
commandé,order
passeport,passport
dés,of the
couronne,crown
oublierai,will forget
accusation,charge
procédure,procedure
rendez,go to
objection,objection
retourné,return
relax,Relax
publique,public
appart,apartment
imagines,imagines
jouent,are playing
inde,India
travaillent,working
essaies,try
Lincoln,Lincoln
psy,psyche
Vince,Vince
manuel,manual
étranges,strange
apres,after
nombreuses,many
crainte,fear
fit,fit
asile,asylum
cherchait,was looking for
branche,plugged
groupes,groups
white,White
hop,hop
tradition,tradition
sel,salt
centrale,central
déçu,disappointed
tentative,attempt
négatif,negative
autorités,authorities
buter,abut
connerie,bullshit
proposé,offers
manières,manners
plaindre,complain
employé,employee
blessée,injured
influence,influence
forcer,force
bonté,goodness
Marcus,Marcus
CIA,CIA
sauvages,wild
personnelle,personal
couvre,coverage
coucou,Hello
audience,audience
out,out
savaient,knew
entretien,maintenance
bouffer,eat
ouai,yeah
impressionnant,impressive
acier,steel
renvoyer,dismiss
salade,salad
collègues,colleagues
chefs,chiefs
guérir,heal
entendue,heard
sœurs,sisters
êtait,was
semblent,seem
participer,to participate
coule,flow
dépasse,outrun
réunis,gathered
plairait,would please
enlevez,remove
trompes,trunk
résister,resist
technologie,technology
patrie,country
conséquences,consequences
Margaret,Margaret
cousine,cousin
habits,clothes
splendide,splendid
Ross,Ross
pipe,pipe
abattu,beaten down
cran,gut
nue,naked
tuyau,pipe 
accueillir,welcome
découverte,discovery
arracher,to tear out
régime,regime
reçoit,receive
album,album
levez,lift
piqué,dive
original,original
remise,delivery
allume,alight
promotion,promotion
juan,Juan
examiner,examine
franc,franc
filé,thread
éteint,off
canapé,sofa
commander,order
dessin,drawing
guère,hardly
interroger,question
oscar,Oscar
paraître,appear
découvre,discover
département,department
vise,target
obéir,to obey
renforts,reinforcements
lily,lily
événements,events
innocents,innocent
ç,vs
organisé,organized
sain,healthy
devras,must
reprends,resume
goutte,drop
cole,cole
souffert,suffer
excitant,exciting
façons,manners
saurai,will be
charlotte,charlotte
sou,soup
réveil,awakening
ken,Ken
benny,benny
usa,USA
volée,stolen
préférerais,would prefer
suprême,supreme
tarte,tart
changent,change
revienne,come back
solitaire,lonely
cravate,tie
rocky,rocky
vérifiez,check
ose,dare
souper,supper
événement,event
remarque,remark
chevalier,knight
suffisamment,enough
charger,load
produire,produce
repris,taken back
record,record
carol,carol
williams,Williams
jo,joy
préparez,prepare
garce,bitch
mêle,mix
étape,stage
motel,motel
pro,pro
autorisé,authorized
principale,main
clinique,clinical
devenus,become
italie,Italy
intéressante,interesting
jonathan,Jonathan
abattre,tear down
ère,time
invisible,invisible
dégâts,damage
clark,Clark
élever,raise
suggère,suggest
rigole,laugh
dent,tooth
éclater,to burst
tabac,tobacco
disques,discs
manquait,lacked
contacter,contact
valait,was worth
fusils,rifles
émotions,emotions
queje,that I
publicité,advertising
simples,simple
éléments,elements
exception,exception
sincère,sincere
rattraper,catch up
efficace,efficient
éteindre,switch off
linge,laundry
goûter,to taste
nathan,Nathan
possibilité,possibility
canard,duck
marqué,Mark
caporal,corporal
déplacer,move
devrez,will have to
morale,moral
insiste,insistant
katie,katie
parking,car park
identifier,identify
pouvaient,could
personnages,characters
cabane,hut
intéressé,interested
stylo,pen
adoré,adored
attaché,attached
cri,shout
kg,kg
angle,angle
séparés,separated
traîne,dragged
instinct,instinct
déclaré,declared
sire,sire
pleut,ray
séjour,stay
ordures,garbage
Raymond,Raymond
délire,delirium
pires,worse
rumeurs,rumors
fauteuil,armchair
coûté,cost
adjoint,assistant
Stephen,Stephen
collègue,coworker
one,One One
poches,pockets
novembre,november
illégal,illegal
restons,stay
bonhomme,fellow
appuie,support
difficiles,difficult
laissera,will leave
courte,short
lâ,the
tuent,kill
lot,batch
levé,survey
seules,only
vivez,live
personnalité,personality
leo,leo
scandale,scandal
conclu,concluded
frigo,fridge
admire,admire
aïe,Ouch
tragédie,tragedy
oblige,obligatory
commandes,orders
pénis,penis
boue,mud
dettes,debts
enseigne,taught
obscurité,darkness
pages,pages
chapitre,chapter
violent,violent
signature,signature
conseille,advisor
vendeur,seller
visages,faces
rarement,rarely
essayait,was trying
serré,tight
mères,mothers
tels,such
halte,stop
collection,collection
désastre,disaster
noix,nut
mourra,will die
rejoins,join
reconnaissance,acknowledgement
blagues,jokes
duke,Duke
méthode,method
bienvenu,welcome
donnait,gave
gratuit,free
boîtes,boxes
marches,steps
Brooklyn,Brooklyn
valises,suitcases
enfermé,shut in
gants,gloves
rompu,broken
coïncidence,coincidence
vilain,naughty
poing,fist
britannique,British
dispute,dispute
trahison,treason
téléphoné,telephone
août,august
feuilles,leaves
quatrième,fourth
révérend,reverend
censée,supposed
devaient,were to
placé,square
ténèbres,darkness
enfui,fled
impliqué,involved
vire,fired
pilules,pills
préfères,prefers
for,for
population,population
manges,eating
pleuré,cry
chasseur,hunter
livraison,delivery
reprend,resumes
emporte,take away
louer,to rent out
mette,put
bizarres,bizarre
torture,torture
remarquable,outstanding
termes,terms
journalistes,journalists
honnêtement,honestly
câble,cable
longs,long
estime,valued
démons,demons
impôts,taxes
massacre,massacre
pomme,apple
autoroute,motorway
sociale,social
moyenne,mean
ingénieur,engineer
doug,Doug
péchés,signs
laissent,leave
tarder,delay
divine,Divine
éloigner,remove
clan,clan
obligée,compulsory
xena,Xena
merveille,wonder
concentrer,focus
venons,let's come
opéra,opera
oxygène,oxygen
sexuel,sexual
industrie,industry
aimerai,would like
z,Z
sortons,let's go out
accent,accent
lawrence,Lawrence
gris,Grey
sean,sean
mesures,measures
batterie,battery
toast,toast
postes,stations
communication,communication
manche,sleeve
grandir,growing up
banques,banks
tonnes,tons
gentleman,gentleman
zut,Damn
numéros,numbers
officiel,official
chariot,cart
otages,hostages
prime,prime
poésie,poetry
annuler,to cancel
jersey,Jersey
chagrin,sorrow
ellen,Ellen
déconne,disconnect
fabuleux,fabulous
dennis,Dennis
complexe,complex
trafic,traffic
trouille,funk
us,US
débrouiller,get off
commencent,begin
cinquante,fifty
vraies,real
discute,discuss
communiste,Communist
francs,francs
sacrifice,sacrifice
française,French
foie,liver
statue,statue
résistance,resistance
mettra,will put
volontiers,gladly
drogues,drugs
cercueil,coffin
pendu,hanged
ignorer,ignore
tireur,shooter
eut,had
piquer,sting
creuser,to dig
médaille,medal
crée,creates
équipement,equipment
phase,phase
chaos,chaos
salue,salute
survie,survival
défi,challenge
trouvés,found
rencontrée,met
boum,boom
longues,long
telles,such as
arriverai,will arrive
gâché,spoils
harris,Harris
brigade,brigade
fiers,proud
ennuyeux,boring
cieux,heavens
contient,contains
aile,wing
oignons,onions
vaches,cows
sensation,sensation
chanceux,fortunate
angela,Angela
gamine,kid
cooper,cooper
cessé,stopped
tina,tina
ressemblait,looked like
plante,plant
scènes,scenes
solitude,solitude
activité,activity
mobile,mobile
principe,principle
rejoint,join
économie,economy
armés,armed
plastique,plastic
regardent,look
chant,song
verte,green
couru,ran
regardait,looked at
ford,Ford
besoins,needs
terroriste,terrorist
assister,to assist
bail,lease
roue,wheel
putes,whores
sachez,know
harold,Harold
amenez,amenez
génération,generation
causé,cause
entraîneur,coach
rigoles,channels
amanda,Amanda
présenté,present
trompez,cheat
mordu,bitten
vampire,vampire
jacques,Jacques
fans,fans
bourré,drunk
éliminer,eliminate
enfoirés,bidded
freddy,Freddy
bloc,block
pourvu,provided
décisions,decisions
eve,Eve
jacob,jacob
symbole,symbol
croirait,would believe
sagesse,wisdom
politiques,policies
taux,rate
nègre,Negro
jetez,throw away
